tag,freq,tendency
#brexit,2283,2
@peoplesvote_uk,1073,1
@jeremycorbyn,969,2
#peoplesvote,912,1
@brexitparty_uk,517,3
#eu,426,0
LeaveEUOfficial ,100,3
@theresa_may,307,2
@anna_soubry,293,1
#fbpe,288,1
#stopbrexit,251,1
@uklabour,236,2
@nigel_farage,213,3
#remain,168,1
#leave,122,2
@conservatives,116,3
@campbellclaret,115,1
@theindgroup,107,3
#brexitshambles,105,1
#uk,104,2
@femi_sorry,93,1
@piersmorgan,91,3
@ofocbrexit,75,1
#revokearticle50,73,1
@mrjamesob,69,1
@lbc,63,2
@leaveeuofficial,61,3
@davidlammy,61,1
#brexiteers,53,3
@andrew_adonis,52,1
@juliahb1,50,2
@skynews,49,2
@bbcnews,48,2
#ukip,46,3
@bbcpolitics,46,2
#theresamay,45,2
@libdems,45,2
@ukip,45,3
@carolinelucas,43,1
@jacob_rees_mogg,42,3
#brexitchaos,41,1
@keir_starmer,39,2
#peoplesvotenow,37,1
#brexitbritain,37,2
#revokea50,37,1
#finalsay,37,1
@borisjohnson,36,3
@chukaumunna,36,1
#despitebrexit,35,2
#cleanbrexit,35,3
@brexit_sham,35,1
@sadiqkhan,35,1
@peston,34,2
#labour,33,2
@dontbrexitfixit,33,1
#brexitbetrayal,31,3
@vincecable,31,2
@telegraph,30,2
@10downingstreet,30,3
@bbclaurak,30,2
@brexit_politics,28,2
@johnmcdonnellmp,28,3
@owenjones84,27,1
@bestforbritain,27,1
#exitbrexit,26,1
#news,26,2
@ticerichard,26,1
@garylineker,26,1
@peoplesvote_hq,26,1
#brexshit,25,1
@brandonlewis,25,3
@dpjhodges,25,1
@guyverhofstadt,25,2
@labourpress,25,2
#stopbrexitsavebritain,24,1
#may,24,2
#merkel,24,2
#russia,24,2
#china,24,2
#brexitdeal,24,2
#nodeal,23,2
#finance,23,2
@benpbradshaw,23,1
@fox_claire,23,3
@bbcr4today,23,2
#fakenews,22,2
@ffsake_,22,1
@gmb,22,2
@remainernow,21,1
@arron_banks,21,3
#tory,20,2
#trading,20,2
#putin,20,2
#usa,20,2
@bbcquestiontime,20,2
#bbcqt,19,2
#euref,19,1
#memes,19,2
#market,19,2
#leavemeansleave,19,3
@marycreaghmp,19,1
@eucopresident,19,1
@realdonaldtrump,19,2
@lordbrexit,19,3
#putittothepeople,18,1
#nodealbrexit,18,3
@spaceangel1964,18,1
@guardian,18,1
@independent,18,2
@iandunt,18,2
@channel4news,18,2
@mpphilwilson,18,1
#politics,17,2
#fbr,17,2
#euelections2019,17,1
#stocks,17,2
#europe,17,2
@leavemnsleave,17,3
@thegreenparty,17,1
@brexitblog_info,17,2
@dominicraab,17,3
@mikegalsworthy,17,1
@snb19692,17,1
@tom_watson,17,1
#euco,16,1
@afneil,16,1
@nottpeoplesvote,16,3
"¡°@yvettecoopermp  """,16,1
@jamescleverly,16,3
@bbc,16,2
@peoplesvote,16,2
@nicolasturgeon,16,2
@paulmasonnews,16,1
#peoplesvotemarch,15,1
#brexitclock,15,2
#clock,15,2
#snp,15,2
#remainernow,15,1
#exitfrombrexit,15,1
#britain,15,2
#brexitparty,15,3
@deborahmeaden,15,1
@sarahwollaston,15,1
@gavinesler,15,1
@jessphillips,15,1
@michael_heaver,15,3
#nobrexit,14,1
#trump,14,2
#r4today,14,2
#bbcnews,14,2
@labour4eu,14,1
@brexitcentral,14,3
@chrisgreybrexit,14,3
@nickymorgan01,14,3
@konnie_huq,14,1
@sdoughtymp,14,1
@youtube,14,2
@brexitbin,14,1
#notbuyingit,13,1
#silver,13,2
@acgrayling,13,1
@mishtal,13,2
@yougov,13,2
#notinmyname,12,1
#tories,12,2
#pmqs,12,2
#remainers,12,1
@ridgeonsunday,12,2
@lord_sugar,12,2
@dvatw,12,1
@jk_rowling,12,1
@change_britain,12,1
@toryboypierce,12,3
@thesnp,12,2
@labpeoplesvote,12,1
@carolecadwalla,12,1
@jmpsimor,12,1
@scientists4eu,12,1
@wesstreeting,12,1
@gerardbattenmep,12,2
@lewis_goodall,12,1
#finalsayforall,11,1
#france,11,2
#gold,11,2
#ireland,11,2
#rt,11,2
#nhs,11,1
#facciamorete,11,1
#indyref2,11,2
@sodemaction,11,1
@westmonsteruk,11,3
#marr,10,2
#optiontoremain,10,1
#waton,10,2
#business,10,2
#politicslive,10,2
#bollockstobrexit,10,1
@peoplesmomentum,10,1
@standup4brexit,10,3
#england,9,2
#ofoc,9,1
#revokea50now,9,1
#ue,9,2
#europeanunion,9,1
#secondreferendum,9,1
#newsnight,9,2
#brexitdelay,8,2
#standup4brexit,8,3
@the_indgroup,7,3
@nigelfarage,7,3
#stopbrexitsavedemocracy,6,1
#farage,6,3
#democracy,6,2
#revokeart50now,6,1
#revokeart50,6,1
#maymustgo,6,2
#withdrawalagreement,6,1
#toriesout,6,2
#voteleavebrokethelaw,6,1
#revoke,6,1
#dontbackthebrexitdeal,6,1
#breaking,6,2
#revokearticle50now,5,1
#bbcswitchoff,5,2
#bbcbreakfast,5,2
#brexitcrimes,5,1
#thebrexitparty,5,3
#brexitmayhem,5,1
#brexiteer,5,3
#resist,4,1
#brexitisfraud,4,1
#voteleave,4,3
#remoaners,4,3
#generalelectionnow,4,2
#brexitmeansbrexit,4,3
#hardbrexit,4,3
#standupforbrexit,1,3
#brexitnow,1,3
#labourleave,1,3
remoaner,1,3
#remain,1,1
#leave,1,3
